ID,Warehouse_block,Mode_of_Shipment,Customer_id,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
4284,5,Ship,X22754419,6,1,246,6,low,F,9,5466,1
4285,4,Ship,K56309765,5,5,165,4,medium,F,3,4242,0
4286,5,Ship,L57612913,3,3,150,4,medium,F,8,4357,1
4287,1,Ship,E32469235,3,5,170,7,low,F,7,4373,1
4288,2,Ship,D23407819,2,3,147,3,low,F,5,5013,0
4289,3,Ship,P47027029,4,2,151,3,medium,M,10,5698,0
4290,5,Ship,O50990461,3,3,259,8,high,F,6,5939,0
4291,4,Ship,C26512167,4,4,211,4,medium,M,8,4747,1
4292,5,Ship,S27141507,4,1,249,10,medium,M,7,5580,1
4293,1,Ship,I51104309,3,2,133,3,medium,M,1,5026,1
4294,2,Ship,M26090785,4,2,258,3,high,M,10,4643,1
4295,3,Ship,B20458013,3,4,253,3,high,F,8,5857,0
4296,5,Ship,D50951295,6,5,185,3,high,F,1,5399,1
4297,4,Ship,Q45506684,3,4,268,2,medium,F,4,1442,1
4298,5,Ship,S26333353,3,3,218,4,medium,M,8,1883,0
4299,1,Ship,E32937364,3,5,140,3,low,M,9,4733,0
4300,2,Ship,W52731389,3,3,214,3,medium,F,9,5856,0
4301,3,Ship,E59630812,5,4,196,3,medium,M,2,5427,1
4302,5,Ship,L16148919,3,2,204,2,high,F,2,5526,0
4303,4,Ship,A53780213,4,1,159,3,low,M,4,4574,0
4304,5,Ship,X45742443,4,3,175,4,medium,F,5,5177,1
4305,1,Ship,D58161896,4,4,163,2,low,F,9,4720,0
4306,2,Ship,F45740540,6,1,271,10,medium,M,5,5459,0
4307,3,Ship,E54893878,4,3,191,3,medium,F,6,4563,0
4308,5,Ship,R25793801,4,5,135,3,medium,F,6,5266,1
4309,4,Ship,W12435440,4,3,224,3,medium,F,9,5283,1
4310,5,Ship,P18302709,3,5,142,2,low,F,8,4914,0
4311,1,Ship,Y21481402,6,2,246,6,low,F,1,4846,0
4312,2,Ship,T36234757,5,4,165,4,medium,M,7,5091,1
4313,3,Ship,G29376988,3,5,150,4,medium,F,8,4433,0
4314,5,Ship,V38555095,3,4,170,7,low,M,7,4957,1
4315,4,Ship,B51739690,2,1,147,3,low,M,3,4120,1
4316,5,Ship,C42185391,4,3,151,3,medium,F,6,5379,1
4317,1,Ship,N19431932,3,2,259,8,high,M,3,4390,1
4318,2,Ship,X13572359,4,5,211,4,medium,F,10,4004,0
4319,3,Ship,K13754126,4,4,249,10,medium,F,2,4190,0
4320,5,Ship,L37532730,3,5,133,3,medium,F,4,5902,0
4321,4,Ship,E32994876,4,3,258,3,high,F,1,4653,0
4322,5,Ship,D11370230,3,3,253,3,high,M,1,4263,1
4323,1,Ship,P52523217,6,1,185,3,high,F,8,4806,0
4324,2,Ship,O50937914,3,4,268,2,medium,M,8,1991,1
4325,3,Ship,C13210428,4,1,277,5,medium,M,3,1527,1
4326,5,Ship,S12867545,2,3,157,4,low,M,3,1203,1
4327,4,Ship,I16451809,5,4,132,6,low,F,8,1327,1
4328,5,Ship,M17459481,5,3,104,4,low,M,3,4885,1
4329,1,Ship,B53642657,3,4,213,2,medium,F,6,5374,1
4330,2,Ship,D24262814,5,2,172,2,high,F,1,5112,0
4331,3,Ship,Q23607877,5,2,168,4,low,M,10,5373,1
4332,5,Ship,S45143243,5,5,192,3,medium,M,3,4015,1
4333,4,Ship,E20104998,4,1,189,2,low,M,10,4646,0
4334,5,Ship,W24818437,5,4,255,6,low,M,3,4638,0
4335,1,Ship,E50927621,5,2,152,3,low,F,2,4172,0
4336,2,Ship,L48356446,4,3,171,5,low,F,2,5242,1
4337,3,Ship,A37227825,4,3,177,3,medium,F,4,4551,0
4338,5,Ship,X18884641,3,2,160,3,low,F,4,4683,0
4339,4,Ship,D48384896,4,4,233,4,low,M,3,5849,1
4340,5,Ship,F53624930,3,2,216,3,low,F,10,4083,0
4341,1,Ship,E26836151,5,3,222,3,low,F,6,4744,1
4342,2,Ship,R48492563,5,3,260,2,low,M,10,5633,0
4343,3,Ship,W35074959,5,1,239,2,low,M,5,5759,1
4344,5,Ship,P16668899,4,4,204,2,medium,F,9,4462,0
4345,4,Ship,Y30151533,3,3,116,5,low,F,6,4524,0
4346,5,Ship,T45623846,4,3,245,3,low,M,8,4826,0
4347,1,Ship,G31559442,4,4,280,5,low,F,3,5034,0
4348,2,Ship,V18729064,3,5,155,4,low,M,6,5386,0
4349,3,Ship,B17625119,3,2,139,5,low,M,8,4595,0
4350,5,Ship,C11606695,5,4,237,3,high,M,9,5401,0
4351,4,Ship,N37192444,2,5,211,4,low,M,1,5673,0
4352,5,Ship,X36999400,3,4,220,3,medium,F,5,5078,0
4353,1,Ship,K32517566,5,1,134,2,low,M,8,5646,0
4354,2,Ship,L53930222,3,2,208,2,low,F,7,4582,1
4355,3,Ship,E15454309,5,3,198,4,medium,M,2,5316,0
4356,5,Ship,D39773066,5,1,277,4,low,M,2,5496,0
4357,4,Ship,P18552088,4,3,144,3,low,M,1,5881,0
4358,5,Road,O42073765,5,1,201,3,low,M,4,5166,1
4359,1,Road,C28872375,3,1,201,4,medium,F,9,5721,1
4360,2,Road,S20206103,5,1,236,2,low,F,2,4987,1
4361,3,Road,I14572365,4,5,142,2,low,M,2,5150,1
4362,5,Road,M29093890,5,1,172,5,medium,F,1,4730,0
4363,4,Road,B12201737,4,3,217,2,medium,F,2,5442,0
4364,5,Road,D13644251,4,2,231,3,high,M,3,5112,0
4365,1,Road,Q40612285,3,1,200,2,low,F,5,4884,0
4366,2,Road,S20289460,5,2,260,6,high,M,10,4087,1
4367,3,Road,E14713324,2,5,216,3,medium,F,2,5098,0
4368,5,Road,W16268404,5,1,215,2,low,M,3,4700,0
4369,4,Road,E51297121,5,3,217,3,low,M,6,4934,1
4370,5,Road,L26157516,3,5,244,3,low,M,3,4652,1
4371,1,Road,A30997159,4,2,221,3,low,M,10,5632,0
4372,2,Road,X43528901,4,1,207,2,medium,M,4,4099,0
4373,3,Road,D10491495,3,3,190,3,medium,M,2,4468,1
4374,5,Road,F50767640,3,5,199,4,low,M,7,4520,0
4375,4,Road,E41994535,6,1,246,3,medium,M,7,4733,1
4376,5,Road,R56537742,3,5,195,3,medium,F,10,5585,0
4377,1,Road,W17553262,3,2,244,3,medium,M,10,4636,1
4378,2,Road,P59566702,2,2,158,3,high,F,1,4149,0
4379,3,Road,Y12222433,4,2,254,4,low,F,4,5137,1
4380,5,Flight,T26968373,3,1,236,2,medium,F,8,5591,0
4381,4,Flight,G28416572,5,1,255,4,medium,M,9,4881,1
4382,5,Flight,V51507422,3,1,224,2,low,M,9,4007,1
4383,1,Flight,B59194927,2,2,204,4,high,M,5,5382,0
4384,2,Flight,C35752334,3,3,150,2,medium,M,3,5836,0
4385,3,Flight,N53705062,3,3,134,2,high,M,1,5646,0
4386,5,Flight,X48976367,3,3,157,4,low,M,7,5974,1
4387,4,Flight,K57091108,3,2,257,2,medium,F,1,4132,1
4388,5,Flight,L52682512,5,2,165,3,medium,F,10,5598,0
4389,1,Flight,E13672691,5,4,175,4,low,M,4,4505,0
4390,2,Flight,D24836556,3,3,201,2,medium,F,8,5032,1
4391,3,Flight,P58866539,3,3,175,2,medium,M,2,4814,0
4392,5,Flight,O34593607,4,2,185,5,low,M,7,4694,1
4393,4,Flight,C10660605,4,3,202,3,low,M,7,5678,1
4394,5,Flight,S15930421,3,4,270,2,low,M,4,4681,0
4395,1,Flight,I58195274,5,3,175,3,low,M,7,4833,1
4396,2,Flight,M33507174,4,3,149,3,medium,F,3,4781,1
4397,3,Flight,B53277653,3,1,223,3,medium,F,4,4495,1
4398,5,Flight,D34609053,5,2,143,4,low,F,10,5400,0
4399,4,Flight,Q12892899,3,3,203,3,medium,M,7,4977,1
4400,5,Flight,S44072221,4,4,165,6,low,F,5,4640,1
4401,1,Flight,E53507686,4,3,255,6,low,M,3,4278,1
4402,2,Ship,W44315996,4,3,218,2,low,F,7,4423,0
4403,3,Ship,E25686871,4,2,193,2,medium,F,1,5909,0
4404,5,Ship,L32471450,5,3,187,3,low,F,3,4343,0
4405,4,Ship,A11274590,3,4,246,3,low,M,1,4020,1
4406,5,Ship,X38644932,3,2,237,3,medium,F,10,5851,0
4407,1,Ship,D39878100,3,3,269,3,medium,M,5,4197,1
4408,2,Ship,F23168728,3,5,107,5,low,F,4,5624,0
4409,3,Ship,E26884876,3,3,147,3,low,M,4,5805,0
4410,5,Ship,R21440289,3,4,111,5,medium,F,1,4102,0
4411,4,Ship,W54484530,3,5,197,3,medium,F,2,4018,1
4412,5,Ship,P35688340,3,4,257,4,low,M,9,4537,0
4413,1,Ship,Y11784813,5,4,269,2,medium,F,2,5276,0
4414,2,Ship,T49686738,3,2,224,2,medium,F,3,4405,0
4415,3,Ship,G32254898,3,3,262,2,medium,F,10,5032,0
4416,5,Ship,V57840667,5,3,181,3,high,M,7,5675,1
4417,4,Ship,B21457644,3,5,159,3,medium,M,9,4555,0
4418,5,Ship,C43832725,3,2,207,2,low,M,9,4671,0
4419,1,Ship,N38913552,3,1,238,3,medium,F,5,4399,1
4420,2,Ship,X32094604,2,3,239,3,high,M,1,5910,0
4421,3,Ship,K53586113,4,5,206,2,low,F,10,4264,1
4422,5,Ship,L19332516,4,1,159,4,low,M,5,5420,1
4423,4,Ship,E42703083,3,4,207,2,medium,M,10,4706,0
4424,5,Ship,D52306343,4,3,262,2,low,M,10,5524,1
4425,1,Ship,P55572517,3,3,251,2,low,M,3,5168,0
4426,2,Ship,O49516710,5,5,188,3,low,F,7,4485,1
4427,3,Ship,C39925594,5,3,254,2,low,F,4,5014,0
4428,5,Ship,S55162762,4,1,234,3,high,M,10,4375,0
4429,4,Ship,I13079090,3,5,246,3,medium,F,2,5653,1
4430,5,Ship,M52697349,4,2,158,3,low,M,3,4527,0
4431,1,Ship,B36240066,4,1,220,3,medium,M,4,4314,0
4432,2,Ship,D54278413,4,2,257,3,medium,M,8,5045,1
4433,3,Ship,Q19639238,4,4,143,2,medium,F,3,5630,1
4434,5,Ship,S31167250,4,5,163,3,high,M,4,5863,0
4435,4,Ship,E28971731,3,3,171,4,low,M,8,4502,0
4436,5,Ship,W30574150,3,3,261,4,medium,F,7,4542,1
4437,1,Ship,E39361984,3,4,212,3,medium,M,10,4663,0
4438,2,Ship,L56303456,3,4,176,2,low,F,10,4920,0
4439,3,Ship,A16645716,4,1,257,4,low,M,5,5875,1
4440,5,Ship,X18406722,4,4,133,2,low,F,10,4768,1
4441,4,Ship,D36316469,3,2,153,3,medium,F,3,5251,0
4442,5,Ship,F43759929,6,4,218,6,medium,M,1,4625,1
4443,1,Ship,E37090447,4,5,164,2,low,F,9,5453,0
4444,2,Ship,R57507131,3,2,256,2,medium,F,9,4228,1
4445,3,Ship,W16288042,2,2,150,2,medium,F,9,4917,1
4446,5,Ship,P42523557,2,4,107,4,high,F,4,4451,1
4447,4,Ship,Y17149478,6,3,219,4,medium,M,6,4885,1
4448,5,Ship,T48377804,6,1,237,5,high,M,2,5364,0
4449,1,Ship,G36135658,5,1,246,2,low,F,4,5461,0
4450,2,Ship,V31629319,4,3,198,3,medium,F,1,5846,1
4451,3,Ship,B47252913,4,4,176,6,high,M,5,4494,1
4452,5,Ship,C29587150,5,2,168,2,high,F,3,4928,0
4453,4,Ship,N19923021,5,2,173,4,medium,M,4,5363,0
4454,5,Ship,X27431042,4,4,106,2,low,F,10,5173,1
4455,1,Ship,K39140568,3,1,171,2,medium,F,7,4010,1
4456,2,Ship,L47590601,5,1,224,2,medium,M,4,5063,0
4457,3,Ship,E32268257,4,2,216,4,medium,M,3,4887,1
4458,5,Ship,D55780865,3,3,174,3,medium,F,2,4221,0
4459,4,Ship,P54827971,4,4,261,6,medium,F,10,4596,1
4460,5,Ship,O17442955,4,3,229,3,low,F,3,5027,0
4461,1,Ship,C30671440,4,5,214,3,high,M,6,5646,0
4462,2,Ship,S14385187,4,5,199,5,medium,M,8,5669,1
4463,3,Ship,I29860801,5,4,182,3,medium,F,7,5677,1
4464,5,Ship,M55404052,4,1,152,3,low,M,4,5299,0
4465,4,Ship,B13208275,4,5,258,2,medium,M,6,5062,1
4466,5,Ship,D28463703,6,2,182,3,low,M,7,4371,1
4467,1,Ship,Q57898639,2,4,166,3,low,M,8,4968,1
4468,2,Ship,S55332523,2,3,176,3,low,F,6,5006,0
4469,3,Ship,E40555299,3,1,193,3,medium,M,3,5154,0
4470,5,Ship,W29310805,4,4,135,2,low,F,10,4508,1
4471,4,Ship,E25274454,6,5,213,4,medium,F,3,5549,0
4472,5,Ship,L20131401,5,5,168,3,low,F,6,4088,1
4473,1,Ship,A37086370,3,3,264,3,medium,F,6,4247,1
4474,2,Ship,X42689944,3,1,173,2,low,M,10,4115,1
4475,3,Ship,D44218952,6,3,142,2,low,F,9,5360,1
4476,5,Ship,F34746647,2,2,278,2,medium,F,9,4318,0
4477,4,Ship,E55165825,3,3,197,2,medium,M,10,5255,0
4478,5,Ship,R17698096,5,4,226,2,low,M,6,4547,0
4479,1,Ship,W39849238,3,2,197,5,medium,F,9,4291,1
4480,2,Ship,P49088861,4,5,189,2,medium,M,6,5439,1
4481,3,Ship,Y24378138,2,1,210,2,medium,F,6,5250,0
4482,5,Ship,T51952335,5,2,149,2,medium,F,8,5396,0
4483,4,Ship,G54068780,5,4,171,5,medium,M,1,5749,0
4484,5,Ship,V51679969,5,3,243,3,medium,F,10,4524,1
4485,1,Ship,B16639440,4,5,171,4,low,F,4,5265,0
4486,2,Ship,C56216374,5,3,215,4,low,M,5,5915,1
4487,3,Ship,N45526683,3,4,174,3,medium,F,4,4051,0
4488,5,Ship,X21042993,6,4,210,5,medium,M,2,4651,0
4489,4,Ship,K11159635,4,4,135,2,low,F,4,5112,0
4490,5,Ship,L23142298,3,2,134,3,low,M,6,4778,1
4491,1,Ship,E40257126,2,5,166,4,medium,F,3,4638,0
4492,2,Ship,D37305914,5,1,174,3,low,M,10,4008,0
4493,3,Ship,P14186058,4,4,252,4,medium,F,4,4832,0
4494,5,Ship,O11228832,5,2,219,4,low,F,7,4787,1
4495,4,Road,C49254974,4,5,244,2,medium,F,7,5325,1
4496,5,Road,S10750359,5,5,132,3,low,M,5,4195,1
4497,1,Road,I49140716,4,2,223,4,low,M,2,5709,0
4498,2,Road,M23161557,3,4,260,4,low,F,10,4109,0
4499,3,Road,B32670417,3,4,269,2,medium,M,6,5951,0
4500,5,Road,D23002529,3,5,170,3,low,F,5,5064,0
4501,4,Road,Q23639148,2,5,170,5,low,F,10,5621,1
4502,5,Road,S44393141,4,2,173,2,medium,M,2,5327,0
4503,1,Road,E34311838,4,5,148,8,medium,M,6,5700,0
4504,2,Road,W41101270,3,5,174,6,medium,F,7,4608,0
4505,3,Road,E27100016,6,2,263,6,low,F,4,4591,1
4506,5,Road,L28270321,4,4,142,10,high,F,7,5425,1
4507,4,Road,A36930014,3,3,183,3,low,M,2,4363,0
4508,5,Road,X37874079,6,1,174,10,medium,F,1,5784,1
4509,1,Road,D33867011,4,1,140,3,low,M,4,5210,1
4510,2,Road,F52653837,6,5,154,2,high,M,7,4359,1
4511,3,Road,E50282281,4,2,108,10,medium,M,5,4645,0
4512,5,Road,R41009502,5,2,198,3,low,F,8,4680,0
4513,4,Road,W24824537,4,2,266,3,high,M,5,4831,1
4514,5,Road,P35191967,4,4,197,5,low,M,8,4793,0
4515,1,Road,Y35051410,3,1,219,8,low,F,1,4122,1
4516,2,Road,T57712922,2,4,255,7,low,F,9,5224,1
4517,3,Flight,G14623791,3,1,255,7,low,F,3,4477,0
4518,5,Flight,V44021320,5,4,219,4,low,F,8,4540,0
4519,4,Flight,B34870429,4,4,244,2,medium,F,7,5543,1
4520,5,Flight,C19930941,5,5,132,3,low,M,3,4263,0
4521,1,Flight,N19072001,4,4,223,4,low,M,3,5613,0
4522,2,Flight,X14444115,3,3,260,4,low,M,8,5595,1
4523,3,Flight,K55239695,3,1,269,2,medium,M,6,5703,1
4524,5,Flight,L25246753,3,1,170,3,low,M,3,4454,1
4525,4,Flight,E20585429,2,4,170,5,low,M,10,5448,0
4526,5,Flight,D26937948,4,5,173,2,medium,F,5,4776,1
4527,1,Flight,P36601901,4,1,148,8,medium,M,5,4851,1
4528,2,Flight,O32453911,3,1,174,6,medium,F,4,4910,1
4529,3,Flight,C52264254,6,1,263,6,low,M,10,5826,0
4530,5,Flight,S50559989,4,5,142,10,high,F,5,4147,1
4531,4,Flight,I50143547,3,3,183,3,low,M,4,5322,0
4532,5,Flight,M28186420,6,1,174,10,medium,M,7,4287,0
4533,1,Flight,B41890435,4,5,140,3,low,F,7,5383,0
4534,2,Flight,D54965821,6,3,154,2,high,M,7,4732,0
4535,3,Flight,Q33708838,4,5,108,10,medium,F,7,5928,1
4536,5,Flight,S57554933,5,3,198,3,low,F,6,5061,1
4537,4,Flight,E16642026,4,2,266,3,high,M,1,5532,1
4538,5,Flight,W15050371,4,3,197,5,low,F,8,4209,1
4539,1,Ship,E45142687,3,1,219,8,low,M,2,5334,0
4540,2,Ship,L15291980,2,4,255,7,low,M,10,5875,0
4541,3,Ship,A27949527,3,2,255,7,low,F,3,5936,0
4542,5,Ship,X40812931,6,2,247,4,low,F,3,1752,0
4543,4,Ship,D35878772,5,1,275,4,medium,F,6,1569,0
4544,5,Ship,F10548376,6,5,291,4,low,M,3,1102,1
4545,1,Ship,E21223919,6,4,265,4,low,F,9,1511,0
4546,2,Ship,R19369445,7,1,250,5,medium,M,8,1776,0
4547,3,Ship,W26866529,7,1,291,4,low,F,9,1880,1
4548,5,Ship,P43123906,6,4,255,4,low,F,3,1569,1
4549,4,Ship,Y58765871,6,5,290,4,medium,F,3,1463,1
4550,5,Ship,T52691269,5,5,276,4,low,F,7,1742,0
4551,1,Ship,G29846556,4,3,149,3,medium,F,1,1448,1
4552,2,Ship,V44973764,6,2,310,4,medium,F,5,1791,1
4553,3,Ship,B13522557,7,5,273,4,low,F,7,1364,0
4554,5,Ship,C13228584,6,3,244,4,low,F,5,1668,1
4555,4,Ship,N57228045,6,4,275,4,low,F,4,1192,1
4556,5,Ship,X57620873,7,2,308,4,low,F,7,1176,0
4557,1,Ship,K34166004,6,5,264,4,low,M,6,1005,0
4558,2,Ship,L29955992,6,2,256,5,medium,F,2,1449,1
4559,3,Ship,E42339512,5,1,252,4,medium,M,4,1837,0
4560,5,Ship,D47163327,6,2,244,4,low,F,4,1245,1
4561,4,Ship,P13160921,6,1,280,4,medium,M,5,1431,0
4562,5,Ship,O26207886,5,3,227,4,low,F,10,1317,1
4563,1,Ship,C52688756,6,4,272,4,low,F,7,1706,1
4564,2,Ship,S18259059,6,2,274,4,medium,M,8,1626,1
4565,3,Ship,I21942014,6,3,310,4,low,F,2,1817,0
4566,5,Ship,M47102835,6,2,282,5,medium,M,5,1818,1
4567,4,Ship,B49145193,6,1,247,4,medium,F,10,1783,0
4568,5,Ship,D24195226,4,2,262,4,low,M,2,5311,0
4569,1,Ship,Q20718053,3,3,213,3,medium,M,7,4133,0
4570,2,Ship,S18474425,4,5,136,3,medium,M,7,4817,1
4571,3,Ship,E51033605,3,5,134,2,low,F,4,5291,0
4572,5,Ship,W19335781,2,2,171,2,medium,F,6,5105,0
4573,4,Ship,E28441758,3,2,182,2,low,M,10,4391,1
4574,5,Ship,L29732668,4,4,185,3,medium,M,9,4469,0
4575,1,Ship,A22731190,4,2,271,3,medium,F,4,5902,0
4576,2,Ship,X45083448,4,1,166,5,low,F,1,5463,1
4577,3,Ship,D53393873,4,2,196,2,low,M,4,5852,0
4578,5,Ship,F20012196,4,4,157,4,low,M,6,4175,0
4579,4,Ship,E22587418,4,4,218,2,low,M,4,4104,1
4580,5,Ship,R39481688,4,3,142,3,medium,F,6,5930,0
4581,1,Ship,W50511904,3,1,237,2,low,M,9,4626,1
4582,2,Ship,P32413179,6,3,213,4,low,F,2,5349,0
4583,3,Ship,Y50778507,5,1,241,2,medium,F,3,5391,1
4584,5,Ship,T28548834,2,2,170,3,high,F,7,4284,1
4585,4,Ship,G23808700,3,1,156,3,medium,M,9,4278,0
4586,5,Ship,V57076393,3,4,228,3,medium,F,8,5419,0
4587,1,Ship,B24191845,3,1,145,3,high,F,10,4364,0
4588,2,Ship,C47704606,4,1,145,3,low,M,3,5618,1
4589,3,Ship,N20634345,3,4,166,3,medium,F,8,4369,1
4590,5,Ship,X57980092,5,5,106,5,medium,F,4,4410,1
4591,4,Ship,K36730541,5,3,210,3,high,F,4,4819,0
4592,5,Ship,L21101380,2,1,235,3,medium,F,6,4411,1
4593,1,Ship,E59914839,4,2,142,2,medium,F,5,4062,0
4594,2,Ship,D46142965,3,4,271,3,low,F,9,4889,1
4595,3,Ship,P59753505,4,5,245,3,medium,F,2,5439,1
4596,5,Ship,O37993844,4,2,192,4,medium,F,2,5503,0
4597,4,Ship,C42111869,5,4,270,3,medium,M,9,4992,1
4598,5,Ship,S47819232,4,4,197,3,low,F,7,5099,0
4599,1,Ship,I49706940,2,1,255,3,medium,F,1,5929,0
4600,2,Ship,M18907795,5,3,223,2,medium,F,9,5735,0
4601,3,Ship,B32612556,3,5,256,3,low,M,7,4366,1
4602,5,Ship,D34454436,4,2,229,2,low,M,9,5026,0
4603,4,Ship,Q48718950,3,3,233,3,low,F,5,4976,1
4604,5,Ship,S23382038,3,4,164,6,medium,F,4,5567,1
4605,1,Ship,E59302616,3,1,171,2,medium,F,6,5704,1
4606,2,Ship,W58394072,5,2,178,5,low,F,5,5167,0
4607,3,Ship,E36438984,3,1,233,2,high,M,1,5073,1
4608,5,Ship,L58834263,3,1,232,2,medium,F,2,5104,1
4609,4,Ship,A36778413,4,2,236,3,low,F,1,4076,0
4610,5,Ship,X23762830,3,2,197,3,medium,F,3,4491,0
4611,1,Ship,D40485320,3,3,152,3,low,M,6,5749,1
4612,2,Ship,F53825147,3,4,219,2,medium,M,7,4883,1
4613,3,Ship,E42736993,4,2,205,2,low,F,10,5580,0
4614,5,Ship,R12134795,3,2,142,2,low,M,7,4082,0
4615,4,Ship,W15563536,6,4,112,4,medium,F,9,4005,1
4616,5,Ship,P24260399,2,2,254,2,low,F,8,5827,0
4617,1,Ship,Y57054663,4,3,256,3,high,F,1,4323,0
4618,2,Ship,T39563568,4,4,168,4,medium,F,4,4676,0
4619,3,Ship,G13230142,3,4,171,3,low,F,5,5872,0
4620,5,Ship,V55056309,6,5,215,4,medium,M,5,5409,1
4621,4,Ship,B14425289,3,3,169,3,low,F,9,4317,1
4622,5,Ship,C56758104,3,3,149,4,medium,F,3,5944,1
4623,1,Ship,N29958879,4,1,223,3,low,F,9,4832,0
4624,2,Ship,X59790147,5,3,224,2,low,M,6,5962,1
4625,3,Ship,K32610823,2,5,186,2,medium,M,10,4506,0
4626,5,Ship,L32980872,4,4,184,3,medium,F,2,5381,0
4627,4,Ship,E13379298,3,1,152,3,low,F,3,5839,1
4628,5,Ship,D24813021,5,3,249,2,low,F,9,4568,0
4629,1,Ship,P53151967,3,3,173,5,medium,F,10,5840,0
4630,2,Ship,O31359205,5,5,167,2,medium,M,2,5908,0
4631,3,Ship,C37395007,5,2,230,2,medium,M,9,4483,0
4632,5,Road,S11111956,5,3,237,3,low,F,8,5131,0
4633,4,Road,I40003743,3,4,202,5,high,M,5,4632,0
4634,5,Road,M39902548,4,3,134,4,low,M,3,5233,0
4635,1,Road,B32724505,5,3,263,3,medium,F,2,4688,0
4636,2,Road,D16586909,5,2,272,2,low,F,1,5412,0
4637,3,Road,Q51681453,4,2,231,6,low,M,8,5227,0
4638,5,Road,S11820543,3,4,190,4,medium,F,7,5963,1
4639,4,Road,E10653425,5,4,223,2,low,M,5,4424,1
4640,5,Road,W23543945,5,1,257,3,medium,F,5,4355,0
4641,1,Road,E20835045,4,4,184,3,medium,M,2,4639,0
4642,2,Road,L52533922,3,5,193,3,medium,M,1,5810,1
4643,3,Road,A37743661,4,3,204,2,low,F,7,4717,1
4644,5,Road,X41158934,3,2,236,3,medium,M,8,5783,0
4645,4,Road,D42563641,5,3,222,2,medium,M,3,4460,1
4646,5,Road,F20352004,4,1,140,5,medium,M,6,4001,1
4647,1,Road,E46953807,3,1,204,3,high,F,9,5093,0
4648,2,Road,R14370466,3,2,271,2,medium,M,6,5280,1
4649,3,Road,W33797838,3,1,108,6,medium,F,7,4024,0
4650,5,Road,P27918821,4,1,206,3,low,F,4,4745,0
4651,4,Road,Y57767785,3,2,180,2,high,F,8,4408,0
4652,5,Road,T57309204,3,2,193,3,low,F,7,5224,0
4653,1,Road,G54056936,5,1,238,4,medium,M,10,4668,0
4654,2,Flight,V46407765,5,3,234,3,low,F,6,4632,0
4655,3,Flight,B58023170,2,5,271,2,low,F,5,5164,1
4656,5,Flight,C25112382,5,2,102,5,medium,F,3,4784,0
4657,4,Flight,N29665548,3,1,185,3,medium,M,7,5474,1
4658,5,Flight,X18202275,4,1,273,2,high,F,10,5832,1
4659,1,Flight,K40764223,6,3,233,6,low,F,9,4814,0
4660,2,Flight,L41819392,5,3,191,2,medium,M,7,5783,1
4661,3,Flight,E57865992,4,4,239,2,medium,M,4,4304,1
4662,5,Flight,D33932805,3,3,270,3,low,M,7,4152,0
4663,4,Flight,P51247520,5,2,279,4,low,F,8,4418,1
4664,5,Flight,O16813213,5,1,233,4,high,M,2,4615,1
4665,1,Flight,C28435816,3,3,178,4,high,M,3,4154,1
4666,2,Flight,S21185199,3,4,184,4,medium,M,2,4052,0
4667,3,Flight,I58657578,3,5,202,3,low,M,2,5208,0
4668,5,Flight,M50889579,3,3,149,2,medium,M,3,4527,0
4669,4,Flight,B29255563,5,2,133,2,high,F,2,4556,0
4670,5,Flight,D28701835,4,4,224,5,low,F,9,4902,1
4671,1,Flight,Q55971107,4,2,252,2,medium,F,6,5414,0
4672,2,Flight,S44050647,4,3,208,2,medium,M,6,4276,1
4673,3,Flight,E21135500,5,3,256,2,low,M,3,4456,0
4674,5,Flight,W44791015,3,5,206,4,medium,M,10,4321,1
4675,4,Flight,E46497579,2,1,177,4,low,F,5,4358,0
4676,5,Ship,L23415145,4,4,269,4,medium,F,3,5032,1
4677,1,Ship,A57682199,3,5,216,3,high,F,2,4242,0
4678,2,Ship,X22152054,3,2,221,3,high,F,7,5477,0
4679,3,Ship,D57914191,5,4,210,3,medium,F,6,5102,0
4680,5,Ship,F31214293,4,5,205,3,medium,F,9,4411,0
4681,4,Ship,E44111927,3,3,237,3,low,F,7,4062,0
4682,5,Ship,R10002422,5,4,139,2,medium,F,2,4217,1
4683,1,Ship,W36568666,4,4,163,3,low,M,3,4185,1
4684,2,Ship,P52020531,4,4,171,2,low,M,4,4962,0
4685,3,Ship,Y13557088,4,3,261,3,low,F,9,5994,1
4686,5,Ship,T23860453,4,3,195,2,low,M,8,4576,0
4687,4,Ship,G39301911,4,2,190,6,high,M,5,4139,1
4688,5,Ship,V48074102,5,5,236,3,high,M,4,5724,1
4689,1,Ship,B29500662,3,4,254,3,medium,M,6,5716,0
4690,2,Ship,C33742841,3,3,157,3,medium,M,10,4877,0
4691,3,Ship,N15622333,3,1,245,3,medium,F,1,5325,0
4692,5,Ship,X40884705,4,1,144,4,medium,M,8,4303,0
4693,4,Ship,K24822173,5,3,217,4,low,M,3,5718,1
4694,5,Ship,L48352920,3,3,249,2,low,F,2,5078,0
4695,1,Ship,E26271764,3,2,176,2,low,F,2,5083,0
4696,2,Ship,D54891756,3,1,230,2,low,F,1,4970,1
4697,3,Ship,P41201478,3,5,204,2,medium,F,5,4504,1
4698,5,Ship,O54434740,4,4,266,2,low,F,5,5601,0
4699,4,Ship,C45481678,4,3,213,3,low,F,2,5722,0
